Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
466,Entry long,2025-05-16 12:43,Long,56890.9,1,56890.9,-2440.34,-0.12,1292.65,0.06,-1997.35,-0.10,-378635.3,-3.79
467,Exit long,2025-05-19 09:39,Close entry(s) order Long,56921.5,1,56975.9,-3099.92,-0.16,2474.75,0.12,-3048.25,-0.15,-381735.25,-3.82
467,Entry long,2025-05-19 09:18,Long,56975.9,1,56975.9,-3099.92,-0.16,2474.75,0.12,-3048.25,-0.15,-381735.25,-3.82
468,Exit long,2025-05-19 12:03,Close entry(s) order Long,57105.9,1,57161.1,-3131.8,-0.16,1457.81,0.07,-2707.19,-0.14,-384867.03,-3.85
468,Entry long,2025-05-19 10:55,Long,57161.1,1,57161.1,-3131.8,-0.16,1457.81,0.07,-2707.19,-0.14,-384867.03,-3.85
469,Exit long,2025-05-19 13:04,Close entry(s) order Long,57178.7,1,57247.3,-3602.47,-0.18,0,0.00,-3625.1,-0.18,-388469.53,-3.88
469,Entry long,2025-05-19 12:32,Long,57247.3,1,57247.3,-3602.47,-0.18,0,0.00,-3625.1,-0.18,-388469.53,-3.88
470,Exit short,2025-05-20 09:16,Close entry(s) order Short,57048.7,1,57087.5,159.57,0.01,7961.58,0.40,-1824.42,-0.09,-388309.94,-3.88
470,Entry short,2025-05-19 13:42,Short,57087.5,1,57087.5,159.57,0.01,7961.58,0.40,-1824.42,-0.09,-388309.94,-3.88
471,Exit short,2025-05-20 11:01,Close entry(s) order Short,56843.5,1,56809.3,-2390.35,-0.12,3526.5,0.18,-3620.5,-0.18,-390700.3,-3.91
471,Entry short,2025-05-20 09:29,Short,56809.3,1,56809.3,-2390.35,-0.12,3526.5,0.18,-3620.5,-0.18,-390700.3,-3.91
472,Exit short,2025-05-20 12:44,Close entry(s) order Short,56746.9,1,56684.5,-3375.03,-0.17,48.81,0.00,-3969.19,-0.20,-394075.34,-3.94
472,Entry short,2025-05-20 11:43,Short,56684.5,1,56684.5,-3375.03,-0.17,48.81,0.00,-3969.19,-0.20,-394075.34,-3.94
473,Exit short,2025-05-20 15:11,Close entry(s) order Short,56565.9,1,56622.9,806.52,0.04,5425.46,0.27,-2421.54,-0.12,-393268.8,-3.93
473,Entry short,2025-05-20 12:59,Short,56622.9,1,56622.9,806.52,0.04,5425.46,0.27,-2421.54,-0.12,-393268.8,-3.93
474,Exit long,2025-05-21 11:23,Close entry(s) order Long,56715.9,1,56638.3,1525.78,0.08,7546.3,0.38,-1805.7,-0.09,-391743.03,-3.92
474,Entry long,2025-05-21 09:44,Long,56638.3,1,56638.3,1525.78,0.08,7546.3,0.38,-1805.7,-0.09,-391743.03,-3.92
475,Exit short,2025-05-21 12:38,Close entry(s) order Short,56515.9,1,56604.9,1927.23,0.10,13790.65,0.70,-769.35,-0.04,-389815.8,-3.90
475,Entry short,2025-05-21 11:47,Short,56604.9,1,56604.9,1927.23,0.10,13790.65,0.70,-769.35,-0.04,-389815.8,-3.90
476,Exit long,2025-05-22 09:16,Close entry(s) order Long,56420.9,1,56589.9,-7101.61,-0.36,0,0.00,-9176.19,-0.46,-396917.4,-3.97
476,Entry long,2025-05-21 15:07,Long,56589.9,1,56589.9,-7101.61,-0.36,0,0.00,-9176.19,-0.46,-396917.4,-3.97
477,Exit short,2025-05-22 13:13,Close entry(s) order Short,56209.3,1,56341.1,3431.22,0.17,7115.42,0.36,-3909.58,-0.20,-393486.2,-3.93
477,Entry short,2025-05-22 09:18,Short,56341.1,1,56341.1,3431.22,0.17,7115.42,0.36,-3909.58,-0.20,-393486.2,-3.93
