Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
5743,Exit long,2024-06-12 10:50:30,Close entry(s) order Long,54828.15,1,54816.5,-743.52,-0.04,1751.93,0.09,-848.57,-0.04,-6828138.5,-68.28
5743,Entry long,2024-06-12 10:38:10,Long,54816.5,1,54816.5,-743.52,-0.04,1751.93,0.09,-848.57,-0.04,-6828138.5,-68.28
5744,Exit short,2024-06-12 11:26:10,Close entry(s) order Short,54784.05,1,54816.65,-9.81,0.00,1461.43,0.08,-1149.57,-0.06,-6828148.5,-68.28
5744,Entry short,2024-06-12 10:59:30,Short,54816.65,1,54816.65,-9.81,0.00,1461.43,0.08,-1149.57,-0.06,-6828148.5,-68.28
5745,Exit short,2024-06-12 11:43:50,Close entry(s) order Short,54688.05,1,54758.05,1300.82,0.07,4500.04,0.23,-928.46,-0.05,-6826847.5,-68.27
5745,Entry short,2024-06-12 11:27:10,Short,54758.05,1,54758.05,1300.82,0.07,4500.04,0.23,-928.46,-0.05,-6826847.5,-68.27
5746,Exit long,2024-06-12 12:01:10,Close entry(s) order Long,54699.05,1,54697.15,-1082.16,-0.06,704.93,0.04,-1417.82,-0.07,-6827930,-68.28
5746,Entry long,2024-06-12 11:46:10,Long,54697.15,1,54697.15,-1082.16,-0.06,704.93,0.04,-1417.82,-0.07,-6827930,-68.28
5747,Exit short,2024-06-12 12:19:30,Close entry(s) order Short,54661.2,1,54668.4,-895.96,-0.05,1170.73,0.06,-574.02,-0.03,-6828826,-68.29
5747,Entry short,2024-06-12 12:08:50,Short,54668.4,1,54668.4,-895.96,-0.05,1170.73,0.06,-574.02,-0.03,-6828826,-68.29
5748,Exit short,2024-06-12 12:39:00,Close entry(s) order Short,54627.85,1,54597,-2226.61,-0.12,0,0.00,-1829.77,-0.10,-6831052.5,-68.31
5748,Entry short,2024-06-12 12:34:10,Short,54597,1,54597,-2226.61,-0.12,0,0.00,-1829.77,-0.10,-6831052.5,-68.31
5749,Exit short,2024-06-12 12:59:40,Close entry(s) order Short,54581.4,1,54550.05,-2243.13,-0.12,76.47,0.00,-1670.03,-0.09,-6833295.5,-68.33
5749,Entry short,2024-06-12 12:50:20,Short,54550.05,1,54550.05,-2243.13,-0.12,76.47,0.00,-1670.03,-0.09,-6833295.5,-68.33
5750,Exit long,2024-06-12 13:15:10,Close entry(s) order Long,54594.1,1,54635.55,-2597.66,-0.14,0,0.00,-2024.42,-0.11,-6835893.5,-68.36
5750,Entry long,2024-06-12 13:05:20,Long,54635.55,1,54635.55,-2597.66,-0.14,0,0.00,-2024.42,-0.11,-6835893.5,-68.36
5751,Exit short,2024-06-12 13:32:10,Close entry(s) order Short,54582.05,1,54581.8,-1154.97,-0.06,907.39,0.05,-1022.86,-0.05,-6837048,-68.37
5751,Entry short,2024-06-12 13:20:00,Short,54581.8,1,54581.8,-1154.97,-0.06,907.39,0.05,-1022.86,-0.05,-6837048,-68.37
5752,Exit long,2024-06-12 13:43:50,Close entry(s) order Long,54593.1,1,54622.8,-2186.27,-0.11,0,0.00,-1921.04,-0.10,-6839234.5,-68.39
5752,Entry long,2024-06-12 13:33:00,Long,54622.8,1,54622.8,-2186.27,-0.11,0,0.00,-1921.04,-0.10,-6839234.5,-68.39
5753,Exit short,2024-06-12 13:58:00,Close entry(s) order Short,54562.95,1,54568.05,-967.38,-0.05,1693.29,0.09,-842.46,-0.04,-6840202,-68.40
5753,Entry short,2024-06-12 13:49:10,Short,54568.05,1,54568.05,-967.38,-0.05,1693.29,0.09,-842.46,-0.04,-6840202,-68.40
5754,Exit short,2024-06-12 14:12:30,Close entry(s) order Short,54527.55,1,54491.55,-2404.7,-0.13,0,0.00,-1832.16,-0.10,-6842606.5,-68.43
5754,Entry short,2024-06-12 14:11:40,Short,54491.55,1,54491.55,-2404.7,-0.13,0,0.00,-1832.16,-0.10,-6842606.5,-68.43
5755,Exit long,2024-06-12 14:21:40,Close entry(s) order Long,54531.6,1,54560.45,-2155.22,-0.11,169.12,0.01,-1610.63,-0.08,-6844762,-68.45
5755,Entry long,2024-06-12 14:19:30,Long,54560.45,1,54560.45,-2155.22,-0.11,169.12,0.01,-1610.63,-0.08,-6844762,-68.45
5756,Exit short,2024-06-12 14:33:20,Close entry(s) order Short,54540.05,1,54498.3,-2606.15,-0.14,0,0.00,-2033.48,-0.11,-6847368,-68.47
5756,Entry short,2024-06-12 14:30:50,Short,54498.3,1,54498.3,-2606.15,-0.14,0,0.00,-2033.48,-0.11,-6847368,-68.47
