Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1319,Exit short,2025-01-23 16:34,Close entry(s) order Short,101839.5,1,101881,-19.62,-0.02,639.44,0.63,-190.06,-0.19,-78907.45,-0.79
1319,Entry short,2025-01-23 15:05,Short,101881,1,101881,-19.62,-0.02,639.44,0.63,-190.06,-0.19,-78907.45,-0.79
1320,Exit long,2025-01-23 17:46,Close entry(s) order Long,101663,1,102061.5,-459.62,-0.45,57.88,0.06,-452.62,-0.44,-79367.07,-0.79
1320,Entry long,2025-01-23 16:53,Long,102061.5,1,102061.5,-459.62,-0.45,57.88,0.06,-452.62,-0.44,-79367.07,-0.79
1321,Exit short,2025-01-23 19:01,Close entry(s) order Short,101750.5,1,101295,-516.41,-0.51,0,0.00,-494.39,-0.49,-79883.48,-0.80
1321,Entry short,2025-01-23 18:53,Short,101295,1,101295,-516.41,-0.51,0,0.00,-494.39,-0.49,-79883.48,-0.80
1322,Exit long,2025-01-23 19:48,Close entry(s) order Long,101953.5,1,102149.5,-257.23,-0.25,508.86,0.50,-248.14,-0.24,-80140.71,-0.80
1322,Entry long,2025-01-23 19:11,Long,102149.5,1,102149.5,-257.23,-0.25,508.86,0.50,-248.14,-0.24,-80140.71,-0.80
1323,Exit long,2025-01-23 20:37,Long SL/TP,103732,1,103371,298.87,0.29,2597.99,2.51,-372.51,-0.36,-79841.84,-0.80
1323,Entry long,2025-01-23 20:02,Long,103371,1,103371,298.87,0.29,2597.99,2.51,-372.51,-0.36,-79841.84,-0.80
1324,Exit long,2025-01-23 22:31,Close entry(s) order Long,104887,1,106005,-1181.27,-1.11,801.2,0.76,-1236.8,-1.17,-81023.11,-0.81
1324,Entry long,2025-01-23 21:41,Long,106005,1,106005,-1181.27,-1.11,801.2,0.76,-1236.8,-1.17,-81023.11,-0.81
1325,Exit short,2025-01-24 01:42,Short SL/TP,105305.9,1,104615.5,-753.38,-0.72,1482.12,1.42,-721.78,-0.69,-81776.49,-0.82
1325,Entry short,2025-01-24 00:47,Short,104615.5,1,104615.5,-753.38,-0.72,1482.12,1.42,-721.78,-0.69,-81776.49,-0.82
1326,Exit short,2025-01-24 03:51,Close entry(s) order Short,103880.5,1,103050.5,-892.08,-0.87,853.58,0.83,-860.92,-0.84,-82668.57,-0.83
1326,Entry short,2025-01-24 02:24,Short,103050.5,1,103050.5,-892.08,-0.87,853.58,0.83,-860.92,-0.84,-82668.57,-0.83
1327,Exit long,2025-01-24 05:26,Close entry(s) order Long,103984,1,104266,-344.47,-0.33,369.72,0.35,-613.78,-0.59,-83013.05,-0.83
1327,Entry long,2025-01-24 04:01,Long,104266,1,104266,-344.47,-0.33,369.72,0.35,-613.78,-0.59,-83013.05,-0.83
1328,Exit short,2025-01-24 06:53,Close entry(s) order Short,103804,1,103512.5,-353.69,-0.34,107.95,0.10,-329.05,-0.32,-83366.74,-0.83
1328,Entry short,2025-01-24 05:50,Short,103512.5,1,103512.5,-353.69,-0.34,107.95,0.10,-329.05,-0.32,-83366.74,-0.83
1329,Exit short,2025-01-24 07:49,Close entry(s) order Short,103417.5,1,103343.5,-136.03,-0.13,341,0.33,-131.5,-0.13,-83502.77,-0.84
1329,Entry short,2025-01-24 07:13,Short,103343.5,1,103343.5,-136.03,-0.13,341,0.33,-131.5,-0.13,-83502.77,-0.84
1330,Exit short,2025-01-24 08:34,Close entry(s) order Short,103371,1,102908.5,-524.38,-0.51,0,0.00,-493.37,-0.48,-84027.15,-0.84
1330,Entry short,2025-01-24 08:18,Short,102908.5,1,102908.5,-524.38,-0.51,0,0.00,-493.37,-0.48,-84027.15,-0.84
1331,Exit short,2025-01-24 08:58,Close entry(s) order Short,103460,1,102693.5,-828.35,-0.81,0,0.00,-812.31,-0.79,-84855.5,-0.85
1331,Entry short,2025-01-24 08:55,Short,102693.5,1,102693.5,-828.35,-0.81,0,0.00,-812.31,-0.79,-84855.5,-0.85
