Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-10-18 08:48,Close entry(s) order Long,67933,1,67779,113.29,0.17,480.67,0.71,-52.83,-0.08,113.29,0.00
1,Entry long,2024-10-18 07:14,Long,67779,1,67779,113.29,0.17,480.67,0.71,-52.83,-0.08,113.29,0.00
2,Exit short,2024-10-18 10:00,Close entry(s) order Short,67832.5,1,67783.5,-89.68,-0.13,237.66,0.35,-80.84,-0.12,23.6,0.00
2,Entry short,2024-10-18 09:12,Short,67783.5,1,67783.5,-89.68,-0.13,237.66,0.35,-80.84,-0.12,23.6,0.00
3,Exit long,2024-10-18 12:20,Close entry(s) order Long,68028,1,67894,93.22,0.14,484.13,0.71,-105.37,-0.16,116.83,0.00
3,Entry long,2024-10-18 11:06,Long,67894,1,67894,93.22,0.14,484.13,0.71,-105.37,-0.16,116.83,0.00
4,Exit short,2024-10-18 14:40,Close entry(s) order Short,68017.5,1,67899,-159.27,-0.23,38.13,0.06,-189.87,-0.28,-42.45,0.00
4,Entry short,2024-10-18 13:22,Short,67899,1,67899,-159.27,-0.23,38.13,0.06,-189.87,-0.28,-42.45,0.00
5,Exit short,2024-10-18 15:58,Close entry(s) order Short,67954,1,67825.5,-169.23,-0.25,40.15,0.06,-173.85,-0.26,-211.68,0.00
5,Entry short,2024-10-18 15:05,Short,67825.5,1,67825.5,-169.23,-0.25,40.15,0.06,-173.85,-0.26,-211.68,0.00
6,Exit long,2024-10-18 16:50,Close entry(s) order Long,67899.5,1,67995,-136.27,-0.20,31.6,0.05,-115.9,-0.17,-347.95,0.00
6,Entry long,2024-10-18 16:44,Long,67995,1,67995,-136.27,-0.20,31.6,0.05,-115.9,-0.17,-347.95,0.00
7,Exit short,2024-10-18 18:34,Close entry(s) order Short,67851.5,1,67781,-111.19,-0.16,105.17,0.16,-95.33,-0.14,-459.14,0.00
7,Entry short,2024-10-18 17:16,Short,67781,1,67781,-111.19,-0.16,105.17,0.16,-95.33,-0.14,-459.14,0.00
8,Exit long,2024-10-18 19:02,Close entry(s) order Long,67781,1,67915.5,-175.21,-0.26,0,0.00,-154.87,-0.23,-634.35,-0.01
8,Entry long,2024-10-18 18:54,Long,67915.5,1,67915.5,-175.21,-0.26,0,0.00,-154.87,-0.23,-634.35,-0.01
9,Exit long,2024-10-18 19:20,Close entry(s) order Long,67894.5,1,67971,-117.26,-0.17,202.11,0.30,-142.39,-0.21,-751.61,-0.01
9,Entry long,2024-10-18 19:09,Long,67971,1,67971,-117.26,-0.17,202.11,0.30,-142.39,-0.21,-751.61,-0.01
10,Exit long,2024-10-18 19:44,Close entry(s) order Long,68084.5,1,68200.5,-156.89,-0.23,306.54,0.45,-189.96,-0.28,-908.5,-0.01
10,Entry long,2024-10-18 19:30,Long,68200.5,1,68200.5,-156.89,-0.23,306.54,0.45,-189.96,-0.28,-908.5,-0.01
11,Exit long,2024-10-18 21:40,Close entry(s) order Long,68543,1,68571,-69.13,-0.10,298.43,0.44,-322.07,-0.47,-977.63,-0.01
11,Entry long,2024-10-18 20:04,Long,68571,1,68571,-69.13,-0.10,298.43,0.44,-322.07,-0.47,-977.63,-0.01
12,Exit long,2024-10-18 23:29,Close entry(s) order Long,68736.5,1,68904.5,-209.29,-0.30,0,0.00,-274.17,-0.40,-1186.92,-0.01
12,Entry long,2024-10-18 22:26,Long,68904.5,1,68904.5,-209.29,-0.30,0,0.00,-274.17,-0.40,-1186.92,-0.01
13,Exit long,2024-10-19 00:33,Close entry(s) order Long,68785.5,1,68952,-207.82,-0.30,55.31,0.08,-192.69,-0.28,-1394.74,-0.01
13,Entry long,2024-10-19 00:08,Long,68952,1,68952,-207.82,-0.30,55.31,0.08,-192.69,-0.28,-1394.74,-0.01
14,Exit short,2024-10-19 03:29,Close entry(s) order Short,68415.5,1,68591,134.4,0.20,334.42,0.49,-127.08,-0.19,-1260.35,-0.01
14,Entry short,2024-10-19 01:24,Short,68591,1,68591,134.4,0.20,334.42,0.49,-127.08,-0.19,-1260.35,-0.01
15,Exit short,2024-10-19 04:48,Close entry(s) order Short,68368.5,1,68217,-192.48,-0.28,0,0.00,-171.97,-0.25,-1452.82,-0.01
15,Entry short,2024-10-19 04:19,Short,68217,1,68217,-192.48,-0.28,0,0.00,-171.97,-0.25,-1452.82,-0.01
16,Exit long,2024-10-19 05:49,Close entry(s) order Long,68339,1,68457,-159.04,-0.23,2.96,0.00,-150.54,-0.22,-1611.86,-0.02
16,Entry long,2024-10-19 05:19,Long,68457,1,68457,-159.04,-0.23,2.96,0.00,-150.54,-0.22,-1611.86,-0.02
17,Exit long,2024-10-19 07:21,Close entry(s) order Long,68371.5,1,68462.5,-132.05,-0.19,0,0.00,-126.04,-0.18,-1743.91,-0.02
17,Entry long,2024-10-19 07:17,Long,68462.5,1,68462.5,-132.05,-0.19,0,0.00,-126.04,-0.18,-1743.91,-0.02
18,Exit long,2024-10-19 08:07,Close entry(s) order Long,68405,1,68474,-110.06,-0.16,0,0.00,-92.04,-0.13,-1853.97,-0.02
18,Entry long,2024-10-19 07:52,Long,68474,1,68474,-110.06,-0.16,0,0.00,-92.04,-0.13,-1853.97,-0.02
19,Exit long,2024-10-19 09:07,Close entry(s) order Long,68518,1,68519.5,-42.61,-0.06,168.94,0.25,-24.56,-0.04,-1896.59,-0.02
19,Entry long,2024-10-19 08:37,Long,68519.5,1,68519.5,-42.61,-0.06,168.94,0.25,-24.56,-0.04,-1896.59,-0.02
20,Exit short,2024-10-19 11:27,Close entry(s) order Short,68409.5,1,68396,-54.54,-0.08,54.48,0.08,-66.52,-0.10,-1951.13,-0.02
20,Entry short,2024-10-19 09:58,Short,68396,1,68396,-54.54,-0.08,54.48,0.08,-66.52,-0.10,-1951.13,-0.02
21,Exit long,2024-10-19 11:55,Close entry(s) order Long,68387.5,1,68443,-96.55,-0.14,0,0.00,-76.53,-0.11,-2047.68,-0.02
21,Entry long,2024-10-19 11:50,Long,68443,1,68443,-96.55,-0.14,0,0.00,-76.53,-0.11,-2047.68,-0.02
22,Exit short,2024-10-19 12:54,Close entry(s) order Short,68390.5,1,68353.5,-78.02,-0.11,38.49,0.06,-57.51,-0.08,-2125.7,-0.02
22,Entry short,2024-10-19 12:18,Short,68353.5,1,68353.5,-78.02,-0.11,38.49,0.06,-57.51,-0.08,-2125.7,-0.02
23,Exit long,2024-10-19 14:27,Close entry(s) order Long,68392.5,1,68427.5,-76.05,-0.11,36.97,0.05,-82.03,-0.12,-2201.75,-0.02
23,Entry long,2024-10-19 14:00,Long,68427.5,1,68427.5,-76.05,-0.11,36.97,0.05,-82.03,-0.12,-2201.75,-0.02
24,Exit short,2024-10-19 16:38,Close entry(s) order Short,68300.5,1,68339,-2.49,0.00,140.5,0.21,-73,-0.11,-2204.24,-0.02
24,Entry short,2024-10-19 15:31,Short,68339,1,68339,-2.49,0.00,140.5,0.21,-73,-0.11,-2204.24,-0.02
25,Exit short,2024-10-19 17:48,Close entry(s) order Short,68216.5,1,68157.5,-99.91,-0.15,48.05,0.07,-79.45,-0.12,-2304.15,-0.02
25,Entry short,2024-10-19 17:08,Short,68157.5,1,68157.5,-99.91,-0.15,48.05,0.07,-79.45,-0.12,-2304.15,-0.02
26,Exit long,2024-10-19 20:08,Close entry(s) order Long,68245,1,68292,-87.96,-0.13,54.51,0.08,-79.49,-0.12,-2392.11,-0.02
26,Entry long,2024-10-19 19:57,Long,68292,1,68292,-87.96,-0.13,54.51,0.08,-79.49,-0.12,-2392.11,-0.02
27,Exit short,2024-10-19 22:54,Close entry(s) order Short,68137,1,68149,-28.89,-0.04,103.06,0.15,-75.44,-0.11,-2421,-0.02
27,Entry short,2024-10-19 21:45,Short,68149,1,68149,-28.89,-0.04,103.06,0.15,-75.44,-0.11,-2421,-0.02
28,Exit long,2024-10-20 01:17,Close entry(s) order Long,68166,1,68176.5,-51.4,-0.08,60.05,0.09,-39.95,-0.06,-2472.4,-0.02
28,Entry long,2024-10-19 23:49,Long,68176.5,1,68176.5,-51.4,-0.08,60.05,0.09,-39.95,-0.06,-2472.4,-0.02
29,Exit long,2024-10-20 03:25,Close entry(s) order Long,68254.5,1,68266,-52.46,-0.08,59.02,0.09,-63.48,-0.09,-2524.86,-0.03
29,Entry long,2024-10-20 02:08,Long,68266,1,68266,-52.46,-0.08,59.02,0.09,-63.48,-0.09,-2524.86,-0.03
30,Exit short,2024-10-20 03:41,Close entry(s) order Short,68272.5,1,68226.5,-86.95,-0.13,0,0.00,-68.47,-0.10,-2611.8,-0.03
30,Entry short,2024-10-20 03:36,Short,68226.5,1,68226.5,-86.95,-0.13,0,0.00,-68.47,-0.10,-2611.8,-0.03
31,Exit long,2024-10-20 04:34,Close entry(s) order Long,68316,1,68347.5,-72.5,-0.11,57,0.08,-60.5,-0.09,-2684.3,-0.03
31,Entry long,2024-10-20 04:07,Long,68347.5,1,68347.5,-72.5,-0.11,57,0.08,-60.5,-0.09,-2684.3,-0.03
32,Exit long,2024-10-20 06:01,Close entry(s) order Long,68360,1,68447,-128.04,-0.19,0,0.00,-119.03,-0.17,-2812.35,-0.03
32,Entry long,2024-10-20 05:37,Long,68447,1,68447,-128.04,-0.19,0,0.00,-119.03,-0.17,-2812.35,-0.03
33,Exit short,2024-10-20 08:26,Close entry(s) order Short,68191.5,1,68265,32.56,0.05,127.02,0.19,-63.98,-0.09,-2779.78,-0.03
33,Entry short,2024-10-20 06:07,Short,68265,1,68265,32.56,0.05,127.02,0.19,-63.98,-0.09,-2779.78,-0.03
34,Exit short,2024-10-20 08:47,Close entry(s) order Short,68167,1,68118.5,-89.39,-0.13,3.56,0.01,-79.44,-0.12,-2869.17,-0.03
34,Entry short,2024-10-20 08:38,Short,68118.5,1,68118.5,-89.39,-0.13,3.56,0.01,-79.44,-0.12,-2869.17,-0.03
35,Exit long,2024-10-20 10:50,Close entry(s) order Long,68227.5,1,68209,-22.43,-0.03,104.04,0.15,-29.46,-0.04,-2891.6,-0.03
35,Entry long,2024-10-20 09:45,Long,68209,1,68209,-22.43,-0.03,104.04,0.15,-29.46,-0.04,-2891.6,-0.03
36,Exit short,2024-10-20 11:51,Close entry(s) order Short,68244,1,68179,-105.93,-0.16,0,0.00,-85.45,-0.13,-2997.53,-0.03
36,Entry short,2024-10-20 11:35,Short,68179,1,68179,-105.93,-0.16,0,0.00,-85.45,-0.13,-2997.53,-0.03
37,Exit long,2024-10-20 14:08,Close entry(s) order Long,68429,1,68324,63.97,0.09,171.5,0.25,-21.5,-0.03,-2933.55,-0.03
37,Entry long,2024-10-20 12:27,Long,68324,1,68324,63.97,0.09,171.5,0.25,-21.5,-0.03,-2933.55,-0.03
38,Exit short,2024-10-20 15:08,Close entry(s) order Short,68459,1,68366,-134.05,-0.20,0,0.00,-114.51,-0.17,-3067.6,-0.03
38,Entry short,2024-10-20 14:21,Short,68366,1,68366,-134.05,-0.20,0,0.00,-114.51,-0.17,-3067.6,-0.03
39,Exit short,2024-10-20 16:46,Close entry(s) order Short,68426,1,68378.5,-88.54,-0.13,0,0.00,-68.01,-0.10,-3156.14,-0.03
39,Entry short,2024-10-20 16:25,Short,68378.5,1,68378.5,-88.54,-0.13,0,0.00,-68.01,-0.10,-3156.14,-0.03
40,Exit short,2024-10-20 18:09,Close entry(s) order Short,68419.5,1,68375,-85.54,-0.13,10.99,0.02,-65.01,-0.10,-3241.68,-0.03
40,Entry short,2024-10-20 18:05,Short,68375,1,68375,-85.54,-0.13,10.99,0.02,-65.01,-0.10,-3241.68,-0.03
41,Exit short,2024-10-20 19:02,Close entry(s) order Short,68327,1,68300.5,-67.49,-0.10,76.51,0.11,-62.99,-0.09,-3309.17,-0.03
41,Entry short,2024-10-20 18:26,Short,68300.5,1,68300.5,-67.49,-0.10,76.51,0.11,-62.99,-0.09,-3309.17,-0.03
42,Exit long,2024-10-20 20:37,Close entry(s) order Long,68519,1,68474.5,3.4,0.00,281.46,0.41,-92.04,-0.13,-3305.77,-0.03
42,Entry long,2024-10-20 19:08,Long,68474.5,1,68474.5,3.4,0.00,281.46,0.41,-92.04,-0.13,-3305.77,-0.03
43,Exit short,2024-10-20 21:12,Close entry(s) order Short,68570,1,68381,-230.09,-0.34,0.49,0.00,-210.01,-0.31,-3535.85,-0.04
43,Entry short,2024-10-20 20:51,Short,68381,1,68381,-230.09,-0.34,0.49,0.00,-210.01,-0.31,-3535.85,-0.04
44,Exit short,2024-10-20 23:23,Close entry(s) order Short,68572,1,68486,-127.12,-0.19,50.95,0.07,-106.55,-0.16,-3662.97,-0.04
44,Entry short,2024-10-20 22:57,Short,68486,1,68486,-127.12,-0.19,50.95,0.07,-106.55,-0.16,-3662.97,-0.04
45,Exit long,2024-10-21 00:56,Close entry(s) order Long,68529.5,1,68655,-166.66,-0.24,0,0.00,-146.1,-0.21,-3829.62,-0.04
45,Entry long,2024-10-20 23:38,Long,68655,1,68655,-166.66,-0.24,0,0.00,-146.1,-0.21,-3829.62,-0.04
46,Exit short,2024-10-21 01:54,Close entry(s) order Short,68569.5,1,68503,-107.62,-0.16,19.45,0.03,-88.05,-0.13,-3937.25,-0.04
46,Entry short,2024-10-21 01:04,Short,68503,1,68503,-107.62,-0.16,19.45,0.03,-88.05,-0.13,-3937.25,-0.04
47,Exit long,2024-10-21 03:01,Close entry(s) order Long,68688,1,68656,-9.2,-0.01,261.4,0.38,-23.1,-0.03,-3946.45,-0.04
47,Entry long,2024-10-21 02:00,Long,68656,1,68656,-9.2,-0.01,261.4,0.38,-23.1,-0.03,-3946.45,-0.04
48,Exit long,2024-10-21 03:40,Close entry(s) order Long,68829.5,1,69009.5,-221.35,-0.32,97.8,0.14,-201.2,-0.29,-4167.8,-0.04
48,Entry long,2024-10-21 03:33,Long,69009.5,1,69009.5,-221.35,-0.32,97.8,0.14,-201.2,-0.29,-4167.8,-0.04
49,Exit long,2024-10-21 04:39,Close entry(s) order Long,68968.5,1,69299,-371.98,-0.54,131.21,0.19,-369.79,-0.53,-4539.78,-0.05
49,Entry long,2024-10-21 04:17,Long,69299,1,69299,-371.98,-0.54,131.21,0.19,-369.79,-0.53,-4539.78,-0.05
50,Exit long,2024-10-21 06:17,Close entry(s) order Long,69244,1,69498,-295.62,-0.43,65.15,0.09,-295.85,-0.43,-4835.4,-0.05
50,Entry long,2024-10-21 05:54,Long,69498,1,69498,-295.62,-0.43,65.15,0.09,-295.85,-0.43,-4835.4,-0.05
51,Exit short,2024-10-21 09:06,Close entry(s) order Short,68960,1,69097,95.58,0.14,459.27,0.66,-47.23,-0.07,-4739.82,-0.05
51,Entry short,2024-10-21 08:04,Short,69097,1,69097,95.58,0.14,459.27,0.66,-47.23,-0.07,-4739.82,-0.05
52,Exit long,2024-10-21 10:42,Close entry(s) order Long,69016,1,69004,-29.41,-0.04,201.3,0.29,-46.2,-0.07,-4769.23,-0.05
52,Entry long,2024-10-21 10:20,Long,69004,1,69004,-29.41,-0.04,201.3,0.29,-46.2,-0.07,-4769.23,-0.05
53,Exit short,2024-10-21 15:25,Close entry(s) order Short,68414.5,1,68755,299.35,0.44,564.37,0.82,-100.13,-0.15,-4469.88,-0.04
53,Entry short,2024-10-21 12:29,Short,68755,1,68755,299.35,0.44,564.37,0.82,-100.13,-0.15,-4469.88,-0.04
54,Exit short,2024-10-21 18:03,Close entry(s) order Short,68372,1,68224.5,-188.48,-0.28,0,0.00,-170.97,-0.25,-4658.36,-0.05
54,Entry short,2024-10-21 17:22,Short,68224.5,1,68224.5,-188.48,-0.28,0,0.00,-170.97,-0.25,-4658.36,-0.05
55,Exit short,2024-10-21 18:34,Close entry(s) order Short,68278,1,68200,-118.94,-0.17,70.54,0.10,-114.96,-0.17,-4777.3,-0.05
55,Entry short,2024-10-21 18:09,Short,68200,1,68200,-118.94,-0.17,70.54,0.10,-114.96,-0.17,-4777.3,-0.05
56,Exit short,2024-10-21 21:28,Close entry(s) order Short,67288,1,68103,774.38,1.14,1189.57,1.75,-30.43,-0.04,-4002.92,-0.04
56,Entry short,2024-10-21 18:45,Short,68103,1,68103,774.38,1.14,1189.57,1.75,-30.43,-0.04,-4002.92,-0.04
57,Exit long,2024-10-21 23:47,Close entry(s) order Long,67382.5,1,67398,-55.93,-0.08,286.78,0.43,-104.22,-0.15,-4058.85,-0.04
57,Entry long,2024-10-21 22:36,Long,67398,1,67398,-55.93,-0.08,286.78,0.43,-104.22,-0.15,-4058.85,-0.04
58,Exit short,2024-10-22 00:27,Close entry(s) order Short,67390,1,67139.5,-290.86,-0.43,56.86,0.08,-270.64,-0.40,-4349.71,-0.04
58,Entry short,2024-10-21 23:58,Short,67139.5,1,67139.5,-290.86,-0.43,56.86,0.08,-270.64,-0.40,-4349.71,-0.04
59,Exit long,2024-10-22 02:15,Close entry(s) order Long,67702.5,1,67651.5,10.39,0.02,291.7,0.43,-34.3,-0.05,-4339.32,-0.04
59,Entry long,2024-10-22 01:18,Long,67651.5,1,67651.5,10.39,0.02,291.7,0.43,-34.3,-0.05,-4339.32,-0.04
60,Exit short,2024-10-22 04:17,Close entry(s) order Short,67798.5,1,67689,-150.15,-0.22,57.19,0.08,-129.81,-0.19,-4489.46,-0.04
60,Entry short,2024-10-22 04:08,Short,67689,1,67689,-150.15,-0.22,57.19,0.08,-129.81,-0.19,-4489.46,-0.04
61,Exit short,2024-10-22 06:19,Close entry(s) order Short,67221.5,1,67613,351.05,0.52,1014.72,1.50,-65.78,-0.10,-4138.41,-0.04
61,Entry short,2024-10-22 04:31,Short,67613,1,67613,351.05,0.52,1014.72,1.50,-65.78,-0.10,-4138.41,-0.04
62,Exit long,2024-10-22 08:16,Close entry(s) order Long,67445.5,1,67561,-156,-0.23,134.23,0.20,-137.77,-0.20,-4294.41,-0.04
62,Entry long,2024-10-22 07:31,Long,67561,1,67561,-156,-0.23,134.23,0.20,-137.77,-0.20,-4294.41,-0.04
63,Exit long,2024-10-22 12:16,Close entry(s) order Long,67650,1,67525.5,83.95,0.12,266.74,0.39,-69.26,-0.10,-4210.47,-0.04
63,Entry long,2024-10-22 10:28,Long,67525.5,1,67525.5,83.95,0.12,266.74,0.39,-69.26,-0.10,-4210.47,-0.04
64,Exit short,2024-10-22 15:31,Close entry(s) order Short,67016.5,1,67505,448.14,0.66,718.75,1.06,-97.75,-0.14,-3762.32,-0.04
64,Entry short,2024-10-22 13:07,Short,67505,1,67505,448.14,0.66,718.75,1.06,-97.75,-0.14,-3762.32,-0.04
65,Exit long,2024-10-22 17:49,Close entry(s) order Long,67281,1,67181.5,59.16,0.09,343.35,0.51,-89.65,-0.13,-3703.16,-0.04
65,Entry long,2024-10-22 16:07,Long,67181.5,1,67181.5,59.16,0.09,343.35,0.51,-89.65,-0.13,-3703.16,-0.04
66,Exit short,2024-10-22 19:30,Close entry(s) order Short,66996,1,67094.5,58.27,0.09,433.37,0.65,-138.13,-0.21,-3644.89,-0.04
66,Entry short,2024-10-22 17:55,Short,67094.5,1,67094.5,58.27,0.09,433.37,0.65,-138.13,-0.21,-3644.89,-0.04
67,Exit long,2024-10-22 20:00,Close entry(s) order Long,67105,1,67314.5,-249.83,-0.37,242.81,0.36,-267.69,-0.40,-3894.72,-0.04
67,Entry long,2024-10-22 19:39,Long,67314.5,1,67314.5,-249.83,-0.37,242.81,0.36,-267.69,-0.40,-3894.72,-0.04
68,Exit long,2024-10-22 20:57,Close entry(s) order Long,67151.5,1,67680,-568.95,-0.84,11.7,0.02,-590.8,-0.87,-4463.66,-0.04
68,Entry long,2024-10-22 20:26,Long,67680,1,67680,-568.95,-0.84,11.7,0.02,-590.8,-0.87,-4463.66,-0.04
69,Exit short,2024-10-22 22:41,Close entry(s) order Short,67207.5,1,67004.5,-243.26,-0.36,54.4,0.08,-255.6,-0.38,-4706.93,-0.05
69,Entry short,2024-10-22 21:53,Short,67004.5,1,67004.5,-243.26,-0.36,54.4,0.08,-255.6,-0.38,-4706.93,-0.05
70,Exit long,2024-10-23 00:30,Close entry(s) order Long,67378,1,67468,-130.45,-0.19,53.26,0.08,-241.74,-0.36,-4837.38,-0.05
70,Entry long,2024-10-22 23:34,Long,67468,1,67468,-130.45,-0.19,53.26,0.08,-241.74,-0.36,-4837.38,-0.05
71,Exit long,2024-10-23 01:54,Close entry(s) order Long,67454.5,1,67551.5,-137.5,-0.20,85.73,0.13,-138.27,-0.20,-4974.88,-0.05
71,Entry long,2024-10-23 00:50,Long,67551.5,1,67551.5,-137.5,-0.20,85.73,0.13,-138.27,-0.20,-4974.88,-0.05
72,Exit short,2024-10-23 03:20,Close entry(s) order Short,67500.5,1,67424.5,-116.48,-0.17,0,0.00,-97.23,-0.14,-5091.36,-0.05
72,Entry short,2024-10-23 02:40,Short,67424.5,1,67424.5,-116.48,-0.17,0,0.00,-97.23,-0.14,-5091.36,-0.05
73,Exit long,2024-10-23 04:44,Close entry(s) order Long,67618.5,1,67620,-42.07,-0.06,212.21,0.31,-31.79,-0.05,-5133.43,-0.05
73,Entry long,2024-10-23 03:35,Long,67620,1,67620,-42.07,-0.06,212.21,0.31,-31.79,-0.05,-5133.43,-0.05
74,Exit short,2024-10-23 06:52,Close entry(s) order Short,67337.5,1,67471.5,93.56,0.14,318.26,0.47,-45.24,-0.07,-5039.88,-0.05
74,Entry short,2024-10-23 05:11,Short,67471.5,1,67471.5,93.56,0.14,318.26,0.47,-45.24,-0.07,-5039.88,-0.05
75,Exit short,2024-10-23 09:30,Close entry(s) order Short,67084,1,67102,-22.26,-0.03,187.37,0.28,-150.63,-0.22,-5062.13,-0.05
75,Entry short,2024-10-23 07:59,Short,67102,1,67102,-22.26,-0.03,187.37,0.28,-150.63,-0.22,-5062.13,-0.05
76,Exit long,2024-10-23 10:54,Close entry(s) order Long,67118.5,1,67203,-124.8,-0.19,21.34,0.03,-115.16,-0.17,-5186.93,-0.05
76,Entry long,2024-10-23 10:09,Long,67203,1,67203,-124.8,-0.19,21.34,0.03,-115.16,-0.17,-5186.93,-0.05
77,Exit long,2024-10-23 12:16,Close entry(s) order Long,67183.5,1,67289.5,-146.34,-0.22,7.31,0.01,-130.19,-0.19,-5333.27,-0.05
77,Entry long,2024-10-23 11:58,Long,67289.5,1,67289.5,-146.34,-0.22,7.31,0.01,-130.19,-0.19,-5333.27,-0.05
78,Exit short,2024-10-23 13:40,Close entry(s) order Short,67022,1,67015,-47.21,-0.07,283.4,0.42,-55.1,-0.08,-5380.48,-0.05
78,Entry short,2024-10-23 12:23,Short,67015,1,67015,-47.21,-0.07,283.4,0.42,-55.1,-0.08,-5380.48,-0.05
79,Exit short,2024-10-23 15:33,Close entry(s) order Short,66567,1,66680,73.03,0.11,462.5,0.69,-67,-0.10,-5307.46,-0.05
79,Entry short,2024-10-23 14:18,Short,66680,1,66680,73.03,0.11,462.5,0.69,-67,-0.10,-5307.46,-0.05
80,Exit short,2024-10-23 17:33,Close entry(s) order Short,66503.5,1,66391.5,-151.87,-0.23,45.58,0.07,-132.92,-0.20,-5459.32,-0.05
80,Entry short,2024-10-23 17:11,Short,66391.5,1,66391.5,-151.87,-0.23,45.58,0.07,-132.92,-0.20,-5459.32,-0.05
81,Exit short,2024-10-23 17:50,Close entry(s) order Short,66494.5,1,66310,-224.34,-0.34,0,0.00,-227.89,-0.34,-5683.66,-0.06
81,Entry short,2024-10-23 17:37,Short,66310,1,66310,-224.34,-0.34,0,0.00,-227.89,-0.34,-5683.66,-0.06
82,Exit short,2024-10-23 18:05,Close entry(s) order Short,66416.5,1,66251,-205.3,-0.31,108.12,0.16,-189.88,-0.29,-5888.97,-0.06
82,Entry short,2024-10-23 17:58,Short,66251,1,66251,-205.3,-0.31,108.12,0.16,-189.88,-0.29,-5888.97,-0.06
83,Exit long,2024-10-23 19:44,Close entry(s) order Long,66613.5,1,66535,38.56,0.06,361.04,0.54,-130.96,-0.20,-5850.41,-0.06
83,Entry long,2024-10-23 18:57,Long,66535,1,66535,38.56,0.06,361.04,0.54,-130.96,-0.20,-5850.41,-0.06
84,Exit short,2024-10-23 22:55,Close entry(s) order Short,65989,1,66376.5,347.79,0.52,706.09,1.06,-35.41,-0.05,-5502.62,-0.06
84,Entry short,2024-10-23 20:38,Short,66376.5,1,66376.5,347.79,0.52,706.09,1.06,-35.41,-0.05,-5502.62,-0.06
85,Exit short,2024-10-24 00:01,Close entry(s) order Short,65645,1,65473.5,-210.84,-0.32,197.86,0.30,-228.64,-0.35,-5713.45,-0.06
85,Entry short,2024-10-23 23:35,Short,65473.5,1,65473.5,-210.84,-0.32,197.86,0.30,-228.64,-0.35,-5713.45,-0.06
86,Exit long,2024-10-24 02:57,Close entry(s) order Long,66511,1,66069,402.23,0.61,608.18,0.92,-202.82,-0.31,-5311.23,-0.05
86,Entry long,2024-10-24 00:26,Long,66069,1,66069,402.23,0.61,608.18,0.92,-202.82,-0.31,-5311.23,-0.05
87,Exit short,2024-10-24 04:13,Close entry(s) order Short,66546.5,1,66381.5,-204.88,-0.31,0.09,0.00,-185.91,-0.28,-5516.11,-0.06
87,Entry short,2024-10-24 03:58,Short,66381.5,1,66381.5,-204.88,-0.31,0.09,0.00,-185.91,-0.28,-5516.11,-0.06
88,Exit long,2024-10-24 05:47,Close entry(s) order Long,66622,1,66599,-16.97,-0.03,211.02,0.32,-19.98,-0.03,-5533.07,-0.06
88,Entry long,2024-10-24 04:39,Long,66599,1,66599,-16.97,-0.03,211.02,0.32,-19.98,-0.03,-5533.07,-0.06
89,Exit long,2024-10-24 08:07,Close entry(s) order Long,67304.5,1,66974,290.22,0.43,641.41,0.96,-20.09,-0.03,-5242.86,-0.05
89,Entry long,2024-10-24 06:17,Long,66974,1,66974,290.22,0.43,641.41,0.96,-20.09,-0.03,-5242.86,-0.05
90,Exit short,2024-10-24 10:18,Close entry(s) order Short,67371,1,67240,-171.38,-0.25,3.33,0.00,-168.17,-0.25,-5414.24,-0.05
90,Entry short,2024-10-24 09:26,Short,67240,1,67240,-171.38,-0.25,3.33,0.00,-168.17,-0.25,-5414.24,-0.05
91,Exit long,2024-10-24 12:00,Close entry(s) order Long,67396.5,1,67450,-93.95,-0.14,13.77,0.02,-118.73,-0.18,-5508.19,-0.06
91,Entry long,2024-10-24 10:40,Long,67450,1,67450,-93.95,-0.14,13.77,0.02,-118.73,-0.18,-5508.19,-0.06
92,Exit short,2024-10-24 12:48,Close entry(s) order Short,67304,1,67278.5,-65.87,-0.10,153.32,0.23,-58.68,-0.09,-5574.07,-0.06
92,Entry short,2024-10-24 12:17,Short,67278.5,1,67278.5,-65.87,-0.10,153.32,0.23,-58.68,-0.09,-5574.07,-0.06
93,Exit short,2024-10-24 15:02,Close entry(s) order Short,67013,1,67029,-24.21,-0.04,282.39,0.42,-32.11,-0.05,-5598.28,-0.06
93,Entry short,2024-10-24 14:16,Short,67029,1,67029,-24.21,-0.04,282.39,0.42,-32.11,-0.05,-5598.28,-0.06
94,Exit long,2024-10-24 16:25,Close entry(s) order Long,66942.5,1,67064,-161.7,-0.24,51.88,0.08,-143.12,-0.21,-5759.98,-0.06
94,Entry long,2024-10-24 15:57,Long,67064,1,67064,-161.7,-0.24,51.88,0.08,-143.12,-0.21,-5759.98,-0.06
95,Exit long,2024-10-24 19:48,Close entry(s) order Long,67656,1,67137.5,478.06,0.71,839.86,1.25,-60.14,-0.09,-5281.92,-0.05
95,Entry long,2024-10-24 16:52,Long,67137.5,1,67137.5,478.06,0.71,839.86,1.25,-60.14,-0.09,-5281.92,-0.05
96,Exit short,2024-10-24 22:00,Close entry(s) order Short,67660,1,67428.5,-272.03,-0.40,54.27,0.08,-265.73,-0.39,-5553.95,-0.06
