Trade #,Type,Date/Time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Run-up INR,Run-up %,Drawdown INR,Drawdown %,Cumulative P&L INR,Cumulative P&L %
1237,Exit long,2024-05-09 12:49,Close entry(s) order Long,52998.45,1,53152.95,-6522.09,-0.35,0,0.00,-6397.86,-0.34,-1482373,-14.82
1237,Entry long,2024-05-09 12:19,Long,53152.95,1,53152.95,-6522.09,-0.35,0,0.00,-6397.86,-0.34,-1482373,-14.82
1238,Exit short,2024-05-09 14:09,Close entry(s) order Short,53012.85,1,52853.85,-6676.6,-0.36,0,0.00,-6252.97,-0.34,-1489049.6,-14.89
1238,Entry short,2024-05-09 14:03,Short,52853.85,1,52853.85,-6676.6,-0.36,0,0.00,-6252.97,-0.34,-1489049.6,-14.89
1239,Exit short,2024-05-10 09:26,Close entry(s) order Short,52894.95,1,52827.85,-3458.59,-0.19,3645.31,0.20,-3704.69,-0.20,-1492508.1,-14.93
1239,Entry short,2024-05-09 14:44,Short,52827.85,1,52827.85,-3458.59,-0.19,3645.31,0.20,-3704.69,-0.20,-1492508.1,-14.93
1240,Exit long,2024-05-10 10:52,Close entry(s) order Long,52919.7,1,53012.95,-4376.04,-0.24,5739.86,0.31,-3921.89,-0.21,-1496884.2,-14.97
1240,Entry long,2024-05-10 09:54,Long,53012.95,1,53012.95,-4376.04,-0.24,5739.86,0.31,-3921.89,-0.21,-1496884.2,-14.97
1241,Exit short,2024-05-10 13:31,Close entry(s) order Short,52824.2,1,52875.45,683.9,0.04,9691.06,0.52,-3626.44,-0.20,-1496200.2,-14.96
1241,Entry short,2024-05-10 12:27,Short,52875.45,1,52875.45,683.9,0.04,9691.06,0.52,-3626.44,-0.20,-1496200.2,-14.96
1242,Exit short,2024-05-13 11:07,Close entry(s) order Short,52504.75,1,52497.85,-1344.03,-0.07,6273.77,0.34,-1408.73,-0.08,-1497544.4,-14.98
1242,Entry short,2024-05-13 09:39,Short,52497.85,1,52497.85,-1344.03,-0.07,6273.77,0.34,-1408.73,-0.08,-1497544.4,-14.98
1243,Exit long,2024-05-13 13:23,Close entry(s) order Long,52722.85,1,52591.8,3480.95,0.19,9459.54,0.51,-1211.96,-0.07,-1494063.4,-14.94
1243,Entry long,2024-05-13 11:32,Long,52591.8,1,52591.8,3480.95,0.19,9459.54,0.51,-1211.96,-0.07,-1494063.4,-14.94
1244,Exit short,2024-05-13 13:50,Close entry(s) order Short,52690.75,1,52536.8,-6493.14,-0.35,1200.11,0.07,-5941.64,-0.32,-1500556.5,-15.01
1244,Entry short,2024-05-13 13:33,Short,52536.8,1,52536.8,-6493.14,-0.35,1200.11,0.07,-5941.64,-0.32,-1500556.5,-15.01
1245,Exit long,2024-05-14 09:23,Close entry(s) order Long,53074.4,1,52902.15,4916,0.27,10779.28,0.58,-565.97,-0.03,-1495640.5,-14.96
1245,Entry long,2024-05-13 13:54,Long,52902.15,1,52902.15,4916,0.27,10779.28,0.58,-565.97,-0.03,-1495640.5,-14.96
1246,Exit short,2024-05-14 09:40,Close entry(s) order Short,53078.75,1,52935.9,-6112.9,-0.33,0,0.00,-6565.33,-0.35,-1501753.5,-15.02
1246,Entry short,2024-05-14 09:26,Short,52935.9,1,52935.9,-6112.9,-0.33,0,0.00,-6565.33,-0.35,-1501753.5,-15.02
1247,Exit long,2024-05-14 13:14,Close entry(s) order Long,53163.45,1,53196.85,-2285.78,-0.12,4026.43,0.22,-1727.57,-0.09,-1504039.2,-15.04
1247,Entry long,2024-05-14 12:54,Long,53196.85,1,53196.85,-2285.78,-0.12,4026.43,0.22,-1727.57,-0.09,-1504039.2,-15.04
1248,Exit short,2024-05-15 11:58,Close entry(s) order Short,52989.45,1,53087.3,2310.94,0.12,6946.58,0.37,-1773.67,-0.10,-1501728.2,-15.02
1248,Entry short,2024-05-15 10:01,Short,53087.3,1,53087.3,2310.94,0.12,6946.58,0.37,-1773.67,-0.10,-1501728.2,-15.02
1249,Exit short,2024-05-15 13:58,Close entry(s) order Short,52927.4,1,52859.2,-3497.76,-0.19,146.73,0.01,-3211.52,-0.17,-1505226,-15.05
1249,Entry short,2024-05-15 13:32,Short,52859.2,1,52859.2,-3497.76,-0.19,146.73,0.01,-3211.52,-0.17,-1505226,-15.05
1250,Exit long,2024-05-16 09:41,Close entry(s) order Long,53082.75,1,52969.1,2864.21,0.15,10250.07,0.55,-1361.18,-0.07,-1502361.9,-15.02
1250,Entry long,2024-05-15 14:39,Long,52969.1,1,52969.1,2864.21,0.15,10250.07,0.55,-1361.18,-0.07,-1502361.9,-15.02
1251,Exit short,2024-05-16 11:12,Close entry(s) order Short,52736.7,1,52937.85,5930.67,0.32,26441.4,1.43,-2829.1,-0.15,-1496431.1,-14.96
1251,Entry short,2024-05-16 10:25,Short,52937.85,1,52937.85,5930.67,0.32,26441.4,1.43,-2829.1,-0.15,-1496431.1,-14.96
1252,Exit long,2024-05-16 12:50,Close entry(s) order Long,52828.9,1,53023.4,-7918.95,-0.43,4324,0.23,-8892,-0.48,-1504350.1,-15.04
1252,Entry long,2024-05-16 12:12,Long,53023.4,1,53023.4,-7918.95,-0.43,4324,0.23,-8892,-0.48,-1504350.1,-15.04
1253,Exit short,2024-05-16 14:18,Close entry(s) order Short,52762.85,1,52699.55,-3322.86,-0.18,1956.15,0.11,-4868.84,-0.26,-1507673,-15.08
1253,Entry short,2024-05-16 13:25,Short,52699.55,1,52699.55,-3322.86,-0.18,1956.15,0.11,-4868.84,-0.26,-1507673,-15.08
1254,Exit long,2024-05-17 11:39,Close entry(s) order Long,53292.3,1,52880.95,13282.43,0.72,19391.25,1.05,-772.25,-0.04,-1494390.5,-14.94
1254,Entry long,2024-05-16 14:32,Long,52880.95,1,52880.95,13282.43,0.72,19391.25,1.05,-772.25,-0.04,-1494390.5,-14.94
1255,Exit short,2024-05-17 12:28,Close entry(s) order Short,53304.25,1,53233.9,-3580.9,-0.19,0,0.00,-3810.46,-0.20,-1497971.5,-14.98
1255,Entry short,2024-05-17 12:15,Short,53233.9,1,53233.9,-3580.9,-0.19,0,0.00,-3810.46,-0.20,-1497971.5,-14.98
1256,Exit short,2024-05-17 13:35,Close entry(s) order Short,53299.9,1,53194.3,-4814.19,-0.26,0,0.00,-4944.04,-0.27,-1502785.6,-15.03
1256,Entry short,2024-05-17 13:31,Short,53194.3,1,53194.3,-4814.19,-0.26,0,0.00,-4944.04,-0.27,-1502785.6,-15.03
1257,Exit long,2024-05-17 15:01,Close entry(s) order Long,53280.15,1,53333.85,-2998.95,-0.16,979.99,0.05,-3335.51,-0.18,-1505784.6,-15.06
1257,Entry long,2024-05-17 14:05,Long,53333.85,1,53333.85,-2998.95,-0.16,979.99,0.05,-3335.51,-0.18,-1505784.6,-15.06
1258,Exit long,2024-05-21 09:32,Close entry(s) order Long,53307.85,1,53411.85,-4760.56,-0.25,174.18,0.01,-4200.82,-0.22,-1510545.1,-15.11
1258,Entry long,2024-05-21 09:22,Long,53411.85,1,53411.85,-4760.56,-0.25,174.18,0.01,-4200.82,-0.22,-1510545.1,-15.11
